"S.No,Open,High,Low,Close,Adj Close,Volume"
"1,9600,9690,9480,9580,7432.137695,40790000"
"2,9480,9610,9440,9600,7447.652832,29740000"
"3,9600,9610,9280,9300,7214.916016,32325000"
"4,9400,9540,9360,9540,7401.10498,18955000"
"5,9420,9490,9190,9320,7230.428711,26360000"
"6,9120,9230,9060,9220,7152.849121,25245000"
"7,9200,9400,9150,9400,7292.495605,15265000"
"8,9560,9570,9410,9540,7401.10498,26885000"
"9,9480,9570,9380,9380,7276.975098,19070000"
"10,9300,9310,9080,9220,7152.849121,25245000"
"11,9160,9350,9160,9330,7238.184082,14070000"
"12,9120,9210,9050,9130,7083.027832,37555000"
"13,9060,9130,8950,8980,6966.658203,32565000"
"14,8950,9170,8920,9120,7075.270508,32800000"
"15,9090,9130,8840,8870,6881.320313,21840000"
"16,9020,9070,8920,9030,7005.447754,23760000"
"17,9050,9130,8980,9100,7059.754395,18815000"
"18,9100,9140,9010,9110,7067.51123,13295000"
"19,9130,9340,9130,9300,7214.916016,18225000"
"20,9300,9400,9210,9320,7230.428711,17665000"
"21,9390,9410,9330,9370,7269.219238,19415000"
"22,9400,9510,9330,9420,7308.008789,17055000"
"23,9360,9400,9220,9220,7152.849121,21545000"
"24,9210,9210,8990,9030,7005.447754,28375000"
"25,9030,9060,8820,9000,6982.172363,28845000"
"26,8980,9080,8880,8900,6904.595703,19600000"
"27,8750,9060,8720,9060,7028.722168,52095000"
"28,9060,9230,9050,9050,7020.963867,50760000"
"29,9200,9250,9060,9100,7059.754395,21495000"
"30,9200,9290,9150,9220,7152.849121,22075000"
"31,9020,9160,8980,9080,7044.23584,24525000"
"32,9100,9130,8840,8850,6865.805176,38820000"
"33,8850,8880,8750,8850,6865.805176,39130000"
"34,8910,9040,8870,8970,6958.899902,23530000"
"35,8820,8960,8820,8840,6858.046875,22260000"
"36,8880,8930,8840,8840,6858.046875,22600000"
"37,8900,8930,8710,8780,6811.499023,29335000"
"38,8780,8780,8780,8780,6811.499023,0"
"39,8780,8840,8780,8830,6850.290527,21955000"
"40,8800,8850,8760,8800,6827.013672,18440000"
"41,8960,9080,8900,9020,6997.69043,22430000"
"42,9020,9020,9020,9020,6997.69043,0"
"43,9020,9020,9020,9020,6997.69043,0"
"44,9020,9060,8930,8980,6966.658203,18940000"
"45,8980,9150,8950,9150,7098.544922,22385000"
"46,9340,9340,9170,9200,7137.33252,22405000"
"47,9270,9380,9240,9300,7214.916016,19970000"
"48,9420,9550,9370,9380,7276.975098,37520000"
"49,9600,10240,9560,10160,7882.097656,73480000"
"50,10100,10200,9960,10100,7835.551758,33995000"
"51,10160,10180,10000,10060,7804.518066,22040000"
"52,9820,9990,9820,9890,7672.633789,28740000"
"53,9900,10000,9810,9930,7703.666504,31625000"
"54,10020,10140,10000,10120,7851.068848,27745000"
"55,10180,10480,10140,10420,8083.808594,26945000"
"56,10420,10600,10300,10520,8161.385742,20150000"
"57,10520,10520,10520,10520,8161.385742,0"
"58,10520,10520,10520,10520,8161.385742,0"
"59,10520,10520,10520,10520,8161.385742,0"
"60,10840,11100,10700,10900,8456.189453,73785000"
"61,11080,11080,10600,10700,8301.027344,34810000"
"62,10760,10960,10640,10760,8347.576172,29185000"
"63,10820,10820,10560,10660,8269.999023,23660000"
"64,10660,10680,10420,10480,8130.351074,21515000"
"65,10480,10600,10400,10600,8223.449219,12645000"
"66,10300,10480,10280,10340,8021.741211,22930000"
"67,10280,10340,10180,10180,7897.615723,18560000"
"68,10100,10300,10060,10240,7944.163086,18245000"
"69,10320,10700,10280,10540,8176.900879,34875000"
"70,10720,10920,10700,10860,8425.158203,22635000"
"71,10940,11000,10760,10920,8471.704102,20570000"
"72,11000,11180,10960,11080,8595.833984,30435000"
"73,11200,11200,10920,10980,8518.253906,28550000"
"74,10900,11100,10840,11100,8611.347656,16760000"
"75,11100,11320,11020,11260,8735.475586,31250000"
"76,11220,11420,11120,11200,8688.926758,18220000"
"77,11260,11360,10980,10980,8518.253906,18650000"
"78,11020,11100,10900,11100,8611.347656,18885000"
"79,10940,11080,10880,10980,8518.253906,18165000"
"80,10900,11040,10780,10940,8487.21875,19085000"
"81,10800,10880,10580,10620,8238.964844,30425000"
"82,10560,10580,10440,10500,8145.871094,24540000"
"83,10540,10640,10460,10520,8161.385742,17225000"
"84,10400,10900,10400,10900,8456.189453,20965000"
